23/10/2021 13:29 | f3S9jnEnLuaXvRO3Oy6ViVpC0CSBUhKI | [error] | Method: POST | Status: 400 | IP : ::1 | URL : http://localhost:3000/insuredMine/v1/api/excelMigrate | Request Body : {} | Error : ENOENT: no such file or directory, open 'D:\public\myUploads\file-1634975987888-947981475'
23/10/2021 13:31 | QRFgdEcdrsHr64clITDTQN4l4S6YZWfC | [error] | Method: POST | Status: 400 | IP : ::1 | URL : http://localhost:3000/insuredMine/v1/api/excelMigrate | Request Body : {} | Error : ENOENT: no such file or directory, open 'D:\public\myUploads\file-1634976076021-386394730'
23/10/2021 13:31 | YriMJQjQTbdlnjpGYEQHWWnk0GtIItJR | [info] | Method: POST | Status: 200 | IP : ::1 | URL : http://localhost:3000/insuredMine/v1/api/excelMigrate | Request Body : {} | Response :  [{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"}]
23/10/2021 13:33 | KirjPjNkwvsQjPCZz6bOXXPjgQWNjDor | [info] | Method: POST | Status: 200 | IP : ::1 | URL : http://localhost:3000/insuredMine/v1/api/excelMigrate | Request Body : {} | Response :  [{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"}]
23/10/2021 13:35 | NFL4AmgGlFREJUPU7qpzPBSpsbD6SrP8 | [info] | Method: POST | Status: 200 | IP : ::1 | URL : http://localhost:3000/insuredMine/v1/api/excelMigrate | Request Body : {} | Response :  [{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"},{"email":"sadasdasd@gmail.com"}]
23/10/2021 13:49 | HySTgPBbNWqyTmQbVhvzCjL5qaCebFah | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3000/insuredMine/v1/api/excelMigrate | Request Body : {} | Error : TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string or an instance of Buffer or URL. Received type number (NaN)
23/10/2021 13:52 | KFIlKcYKJXLKT6iekZWH3uNncGgcAcQC | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3000/insuredMine/v1/api/excelMigrate | Request Body : {} | Error : TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string or an instance of Buffer or URL. Received type number (NaN)
23/10/2021 13:53 | 1XXnuYeHuEjb78r4u1aiNHo8WmQpXNoM | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3000/insuredMine/v1/api/excelMigrate | Request Body : {} | Error : TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string or an instance of Buffer or URL. Received type number (NaN)
23/10/2021 13:54 | d37xT48PFUqGhdtwh23lCASgYXMpjKIH | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3000/insuredMine/v1/api/excelMigrate | Request Body : {} | Error : TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string or an instance of Buffer or URL. Received type number (NaN)
23/10/2021 13:55 | lz6kZxGclsjX4d9MjhB125j0jXsdbBSa | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3000/insuredMine/v1/api/excelMigrate | Request Body : {} | Error : ReferenceError: rows is not defined
23/10/2021 13:56 | JzT37wckxOUjdOy57VGpdhtl4IAMsbGp | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3000/insuredMine/v1/api/excelMigrate | Request Body : {} | Error : ReferenceError: rows is not defined
